재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립연월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
국민 재활용,위탁,울산광역시 남구 수암로 271,울산광역시 남구 야음동 385-29,35.52243771,129.3347502,150,2024-12,1,가전+가구,국민 재활용,052-261-7262,박윤심,09:00,18:30,09:00,18:30,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
울산 재활용,위탁,울산광역시 남구 수암로 310,울산광역시 남구 야음동 368-4,35.52030088,129.3378032,100,1999-12,1,가전+가구,울산 재활용,052-260-2114,방현도,09:00,18:00,09:00,18:00,연중무휴,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
광장재활용센터,위탁,울산광역시 남구 산업로 693,울산광역시 남구 삼산동 147-9,35.54265753,129.354117,100,2024-12,1,가전+가구,광장재활용센터,052-256-1900,김수연,09:00,20:00,00:00,00:00,일+공휴일,6개월 이내 무상수리,www.gwangjang.co.kr,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
이안재활용마트,위탁,울산광역시 남구 삼산로 98,울산광역시 남구 달동 915-2,35.53474255,129.3184596,230,2024-12,1,가전+식당비품,이안재활용마트,052-256-4986,주혜정,07:00,18:00,07:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
울산 중고 프라자,위탁,울산광역시 남구 돋질로 121,울산광역시 남구 신정동 170-12,35.54000407,129.3189429,300,2024-12,2,가전+가구,울산 중고 프라자,052-256-1232,심영미,09:00,18:00,09:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
부일전자,위탁,울산광역시 남구 신정로 116번길 14,울산광역시 남구 신정동 152-4,35.5422021,129.3209531,15,2024-12,1,가전,부일전자,052-211-4380,이칠학,09:00,17:00,00:00,00:00,일+공휴일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
북부 재활용 센터,위탁,울산광역시 남구 수암로 62,울산광역시 남구 신정동 804-10,35.53045106,129.3146731,210,2024-12,1,가전,북부 재활용 센터,052-260-5985,김승민,09:00,19:00,09:00,19:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
열린 재활용,위탁,울산광역시 남구 돋질로 109,울산광역시 남구 신정동 590-11,35.53954689,129.3174867,749,2024-12,2,가전+가구,열린 재활용,052-272-3003,이상옥,09:00,18:00,09:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
서구재활용센터,위탁,부산광역시 서구 충무대로 120(암남동),부산광역시 서구 암남동 95-30,35.0810401,129.024756,184,1996-12,1,가구+가전,서구재활용센터,051-247-8777,배창호,09:00,18:00,09:00,18:00,,,,051-240-4451,부산광역시 서구청,2025-11-13,3260000,부산광역시 서구
동두천시 재활용선별장,직영,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563814,7887,2005-12,3,종이+유리병+비닐+고철 등,경기도 동두천시청,031-860-2252,박형덕,09:00,18:00,00:00,00:00,토+일+공휴일,,,031-860-2252,경기도 동두천시청 환경보호과,2025-11-04,3920000,경기도 동두천시
옥천군 생활자원회수센터,직영,충청북도 옥천군 군북면 이평1길 199,충청북도 옥천군 군북면 추소리 1,36.34698788,127.5781691,1331,2019-12,3,세탁기+냉장고+고철 등,충청북도 옥천군청,043-730-3457,,09:00,18:00,00:00,00:00,,,,043-730-3457,충청북도 옥천군청,2025-11-17,4430000,충청북도 옥천군
청주시재활용센터,위탁,충청북도 청주시 청원구 내수로 28(주성동),충청북도 청주시 청원구 주성동 297-19,36.68256185,127.4990738,594,2020-09,3,중고가구+가전+기타잡화,㈜청주재활용센터,043-285-7289,박흥규,08:30,17:30,00:00,00:00,일요일+공휴일(토요일운영_08:30~15:00),,https://www.cj-rcmarket.co.kr,043-201-4675,충청북도 청주시청,2025-11-12,5710000,충청북도 청주시
은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,서울특별시 은평구 수색동 293-13,37.59131729,126.884255711,497,1995-01,2,"가구류,가전제품",사단법인 한국생활자원 재활용 협회 은평구지회,02-372-8272,김명종,09:00,18:00,00:00,00:00,"명절전일 및 당일 휴무,일요일",구입일로부터 6개월,http://www.eprecycle.kr/,02-372-8272,서울특별시 은평구청,2025-06-26,3110000,서울특별시 은평구
김제시 재활용선별장,직영,전북특별자치도 김제시 봉황공단1길 200,전북특별자치도 김제시 오정동 222,35.77218743,126.919438,9939,2005-03,3,플라스틱류+병류+스티로폼+고철우유팩,전북특별자치도 김제시청 청소자원과,063-540-3173,정성주,08:00,17:00,00:00,00:00,일+공휴일,해당없음,www.gimje.go.kr,063-540-3173,전북특별자치도 김제시청,2025-06-10,4711000,전북특별자치도 김제시
환경자원센터,위탁,강원특별자치도 양양군 양양읍 되넘이길 80,강원특별자치도 양양군 양양읍 화일리 485,38.093757,128.571566,1257,2009-08,3,재활용품 선별,(유)양양자활환경자원센터,033-671-2788,임무경,09:00,18:00,00:00,00:00,토+일+공휴일,,,033-670-2186,강원특별자치도 양양군청,2024-11-26,4351000,강원특별자치도 양양군
용인시 재활용센터(이동),위탁,경기도 용인시 백옥대로 489번길 19-6 (이동읍),경기도 용인시 덕성리 1130-7,37.181318,127.200127,8233,2013-07,1,스티로폼+건전지+폐메트리스,용인도시공사,031-321-3088,신경철,08:00,18:00,08:00,12:00,일요일+공휴일,없음,없음,031-6193-2334,경기도 용인시청,2024-11-19,4050000,경기도 용인시
용인시 재활용센터(고림),위탁,경기도 용인시 처인구 경안천로 288(고림동),경기도 용인시 처인구 고림동 820-155,37.2565592940,127.2198451164,15569,2007-08,3,잡파지+철캔+알루미늄캔+유리병류+플라스틱류,용인도시공사,031-8097-6802,신경철,08:00,18:00,08:00,12:00,일요일+공휴일,없음,없음,031-6193-2334,경기도 용인시청,2024-11-19,4050000,경기도 용인시
완주군생활자원화센터,직영,전북특별자치도 완주군 비봉면 율백로 194-38,전북특별자치도 완주군 비봉면 백도리 419,35.98710823,127.1700744,4561,1997-10,9,재활용품,전북특별자치도 완주군청,063-290-4290,완주군수,09:00,18:00,00:00,00:00,공휴일,해당없음,wanju.go.kr,063-290-4290,전북특별자치도 완주군청,2024-01-29,4721000,전북특별자치도 완주군
종합리싸이클링타운,위탁,전북특별자치도 전주시 완산구 삼산길 51-24,전북특별자치도 전주시 완산구 삼천동3가 749-5,35.79982581,127.0736932,44160,2016-11,0,플라스틱류+고철+캔+유리병+비닐류 등,전주리싸이클링에너지㈜,063-250-8137,박상규,08:00,17:00,08:00,17:00,토(격주)+일+설 연휴+추석 연휴,,,063-281-8452,전북특별자치도 전주시청,2025-02-05,4641000,전북특별자치도 전주시
리싸이클세상,위탁,서울특별시 강남구 논현로 115길 7,서울특별시 강남구 논현동 191-6,37.50883463,127.0325018,781,2008-09,3,가전가구류,(주)리싸이클세상,,,09:00,19:00,09:00,19:00,,,,02-3423-6008,서울특별시 강남구청,2024-05-03,3220000,서울특별시 강남구
강남구재활용센터,위탁,서울특별시 강남구 개포로 247,서울특별시 강남구 개포동 1259-6,37.479138,127.0494793,660,2008-09,4,가전가구류,강남구재활용센터,,,09:00,19:00,09:00,19:00,,,,02-3423-6008,서울특별시 강남구청,2024-05-03,3220000,서울특별시 강남구
영천시 생활자원회수센터,직영,경상북도 영천시 바깥완산길 433 (완산동),경상북도 영천시 완산동 산3-1,35.96461799,128.9694261,940,2022-08,3,PET+플라스틱+고철+유리병+종이 등,경상북도 영천시청,054-330-6174,최기문,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,054-330-6174,경상북도 영천시청,2024-10-14,5100000,경상북도 영천시
동구 재활용선별장,직영,,부산광역시 동구 범일동 1642,35.12989024,129.0612769,2300,1995-01,16,스티로폼,동구 재활용선별장,,김진홍,07:00,16:00,07:00,09:00,일요일,,,051-440-4451,부산광역시 동구청,2024-09-25,3270000,부산광역시 동구
부산진구 재활용센터,위탁,부산광역시 부산진구 신천대로 155(부전동),부산광역시 부산진구 부전동 384-65,35.15563315,129.0507411,145,1995-02,0,중고가구+잡화 등,부산광역시 부산진구청,051-805-8272,,09:00,18:00,00:00,00:00,토일+공휴일,,,051-605-4451,부산광역시 부산진구청,2024-07-11,3290000,부산광역시 부산진구
공공재활용 선별장,직영,전라남도 화순군 한천면 덕음로 548,전라남도 화순군 한천면 가암리 산 91,35.02069463,126.9907566,750,2009-01,1,종이+고철+빈병+스티로폼 등,전라남도 화순군청,061-379-3603,구복규,08:00,16:00,00:00,00:00,토요일+공휴일,,,061-379-3603,전라남도 화순군청,2024-08-13,5855000,전남광주통합특별시 화순군
함평군환경관리센터,직영,전라남도 함평군 함평읍 주포로 170-9,전라남도 함평군 함평읍 장년리 581,35.09101753,126.4804107,25368,2000-03,16,생활쓰레기,함평군,061-320-2878,,06:00,17:00,00:00,00:00,공휴일,,,061-320-2878,전라남도 함평군청,2025-10-31,5885000,전남광주통합특별시 함평군
경상북도 칠곡군 환경종합센터,직영,경상북도 칠곡군 왜관읍 강변대로 888,,35.9567806,128.3993445,450,2021-12,4,파지+ 압축PET+ 잡병+ 프라스틱 등,경상북도 칠곡군청,054-979-6745,김재욱,09:00,18:00,00:00,00:00,,,,054-979-6745,경상북도 칠곡군청,2025-11-03,5220053,경상북도 칠곡군 주민생활지원과
대립매립장 광역재활용품선별시설,직영,전북특별자치도 남원시 대산면 노산하대길 134,전북특별자치도 남원시 대산면 대곡리 311,35.41405716,127.3184414,1756.19,2024-12,8,고철+파지 등 재활용품 선별,전북특별자치도 남원시,063-620-6771,,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,063-620-6771,전북특별자치도 남원시청,2025-11-03,4701000,전북특별자치도 남원시
홍성군 생활폐기물종합처리장,직영,충청남도 홍성군 홍북읍 홍덕서로328,충청남도 홍성군 홍북읍 중계리525,36.62185818,126.6265759,135188,2007-08,7,플라스틱 외 6품목,충청남도 홍성군청,041-630-9831,이용록,09:00,17:00,09:00,13:00,일,,www.hongseong.go.kr,041-630-9831,충청남도 홍성군청,2025-11-03,4600000,충청남도 홍성군
중구재활용센터,위탁,서울특별시 중구 다산로 174,서울특별시 중구 신당동 330-17,37.55897769,127.0134049,390,1997-12,2,가전+가구+컴퓨터+사무집기,서울특별시 중구청,02-2233-7289,김길성,09:00,19:00,09:00,18:00,일요일,"[환불교환] 판매일로부터 1개월 이내 고장 발생 / [무상수리] 판매일로부터 3개월 이내(컴퓨터, 프린터, 파쇄기 등 사무용 기기), 판매일로부터 6개월 이내(냉장고, TV, 에어컨 등 가정용 가전)",www.remarketc.co.kr,02-3396-5465,㈜중구리싸이클링,2025-09-25,3010000,서울특별시 중구
정선군재활용선별시설,직영,강원특별자치도 정선군 남면 광락로 691-233,강원특별자치도 정선군 남면 광덕리 365,37.30727229,128.6787899,1736,2016-01,1,플라스틱+캔+고철+목재,강원특별자치도 정선군청,033-560-2398,정선군수 최승준,09:00,18:00,00:00,00:00,토+일,,,033-560-2398,강원특별자치도 정선군청,2025-08-04,4291000,강원특별자치도 정선군
의정부시재활용센터,위탁,경기도 의정부시 장곡로 450(신곡동),경기도 의정부시 신곡동 681,37.74351676,127.0551989,478.5,1998-12,1,가전+가구 등,(사)한국생활자원재활용협회 의정부지회,031-844-7282,이종철,09:00,18:00,00:00,00:00,토+일+공휴일,판매 또는 교환물품이 6개월이내에 하자 발생시 무상수리,,031-828-2994,경기도 의정부시청,2025-06-30,3820000,경기도 의정부시
영덕군재활용선별장,직영,경상북도 영덕군 강구면 하저길 139-1,경상북도 영덕군 강구면 하저리 산103,36.41219352,129.3893647,600,2009-06,4,종이류외 9종,경상북도 영덕군청,054-730-6204,,07:00,16:00,07:00,16:00,토요일+일요일,,,054-730-6204,경상북도 영덕군청,2025-08-01,5180000,경상북도 영덕군
청도환경관리센터,직영,경상북도 청도군 매전면 중앙로 84-460,경상북도 청도군 매전면 송원리 산194-1,35.63481547,128.7778428,700,2002-12,9,종이+신문지류+캔류+플라스틱류+PET류+유리병류+고철류+스치로폼류 등,경상북도 청도군청,054-370-6192,김하수,09:00,18:00,10:00,18:00,격주 토+격주 일,,,054-370-6192,경상북도 청도군청,2025-08-11,5190000,경상북도 청도군
성동구 재활용센터,위탁,서울특별시 성동구 천호대로 78길 58,서울특별시 성동구 용답동 189,37.55691625,127.054969,72,1995-06,1,전자레인지+전기오븐+전기그릴+공기청정기,성동구 도시관리공단,02-2204-7997,장기천,09:00,18:00,00:00,00:00,토+일+공휴일,,,02-2286-5545,서울특별시 성동구청,2025-08-12,3030000,서울특별시 성동구
부여군 공공재활용기반시설,위탁,충청남도 부여군 장암면 북고로 201,충청남도 부여군 장암면 북고리 551-1,36.23213261,126.9163324,2762.69,2013-12,5,PET+PE+PP+PS+EPS인고트+유리병+폐지+우유팩+철캔 등,엠엔테크㈜,041-837-6470,오명석,09:00,18:00,00:00,00:00,매주토요일+일요일+공휴일,,,041-830-2315,충청남도 부여군청,2025-08-01,4570000,충청남도 부여군
양주시재활용선별장,위탁,경기도 양주시 은현면 은남로 160,경기도 양주시 은현면 봉암리 39,37.89328531,127.0100091,44134,2010-12,2,파지+고철+플라스틱 등,양주도시공사,031-828-9752,이흥규,09:00,18:00,09:00,18:00,토요일+일요일,,https://www.yjuc.or.kr/main/index.asp,031-8082-6931,경기도 양주시청 청소행정과,2025-07-31,5590000,경기도 양주시
구로구 재활용센터,위탁,서울특별시 구로구 새말로48,서울특별시 구로구 구로동 557-11,37.503211,126.886038,792,1995-01,2,가전제품+가구,구로재활용센터,02-858-8272,윤욱렬.김영순,09:30,18:30,11:00,18:30,일,판매일로부터 6개월이내 무상 수리,www.gurogu.co.kr,02-860-2620,서울특별시 구로구청,2025-08-14,3160000,서울특별시 구로구
성남시 재활용선별장,위탁,경기도 성남시 분당구 탄천로 247,경기도 성남시 분당구 야탑동 404,37.41426314,127.1196311,11049,1998-12,5,파지+공병+파병+고철+폐비닐+플라스틱+스티로폼+헌옷+기타,엠엔테크㈜+ ㈜에스지자원개발,031-707-6470,최기호,08:00,17:00,00:00,00:00,일+공휴일,,,031-729-4986,경기도 성남시청,2025-08-29,3780000,경기도 성남시
여수시 재활용품선별장,직영,전라남도 여수시 진달래길 310-157(월내동),전라남도 여수시 월내동 200-5,34.84759436,127.7386021,1749.1,2011-01,0,폐지+고철+철캔+알루미늄캔+유리병+잡병+페트병+플라스틱류+스티로폼,전라남도 여수시,061-659-3839,정기명,09:00,18:00,00:00,00:00,"토, 일, 공휴일",해당없음,해당없음,061-659-3839,전라남도 여수시청,2024-03-20,5785000,전남광주통합특별시 여수시
영동군자원순환센터,직영,충청북도 영동군 용산면 남부로 621-39,,36.22144517,127.8018119,1187,2010-01,2,폐지+우유팩+고철+알미늄캔+철캔+플라스틱+병류+장판+스티로품,충청북도 영동군,043-740-3418,정영철,09:00,18:00,00:00,00:00,,,,043-740-3418,충청북도 영동군청,2023-12-11,4440000,충청북도 영동군
광양시 재활용품 선별시설,위탁,전라남도 광양시 광양읍 직동2길 113,전라남도 광양시 광양읍 죽림리 1445,34.95596761,127.6458542,4984,1997-03,2,폐금속류+폐페트 및 장판+폐합성수지+폐발포합성수지+폐지류+유리병류 등,(사)광양자원관리공사,061-762-0388,강경주,08:00,17:00,00:00,00:00,일요일+명절 당일+명절 익일+근로자의 날,,,061-797-3612,전라남도 광양시청,2025-11-28,4840000,전라남도 광양시
보성군 생활자원회수센터,직영,전라남도 보성군 보성읍 평동로 1656,전라남도 보성군 보성읍 용문리 608,34.78248754,127.0870977,198,2021-12,4,플라스틱류+병류+스티로폼류+고철류 등,전라남도 보성군,061-850-8497,김철우,09:00,18:00,00:00,00:00,법정 공휴일,,,061-850-5344,전라남도 보성군청 환경생태과,2025-12-01,5850000,전남광주통합특별시 보성군
(합자)청명산업,위탁,강원특별자치도 춘천시 동면 소양강로 242,강원특별자치도 춘천시 동면 장학리 648-56,37.908602,127.749173,153,2024-12,1,중고가전가구제품,청명산업,033-257-4428,김영숙,09:00,18:00,00:00,00:00,토+일+법정공휴일,,,033-250-3131,강원특별자치도 춘천시청,2025-11-25,4181000,강원특별자치도 춘천시
보령시 공공재활용 기반시설,위탁,충청남도 보령시 해안로 543,충청남도 보령시 남곡동 1145-8,36.33837746,126.5394913,736,2022-12,1,플라스틱류+ 스티로폼+캔,삼원환경산업㈜,041-931-1420,남궁훈,09:00,18:00,00:00,00:00,일+공휴일,재활용품 선별,,041-930-3680,충청남도 보령시청,2025-12-05,4510000,충청남도 보령시
강진군 환경정화센터,직영,전라남도 강진군 강진읍 남당로 97-73,전라남도 강진군 강진읍 목리 437,34.62354375,126.7765415,124491,2024-07,12,각종생활쓰레기,전라남도 강진군청,061-430-3967,,08:00,17:00,00:00,00:00,토요일+일요일+공휴일,,https://www.gangjin.go.kr/www/part/environment/waste/status,061-430-3967,전라남도 강진군청,2025-12-08,5865000,전남광주통합특별시 강진군
강릉시자원순환센터,직영,강원특별자치도 강릉시 강동면 임곡로 557-13,강원특별자치도 강릉시 강동면 임곡리 산 15,37.69266797,128.9879447,2085.45,2020-12,5,페트병+고철+공병+프라스틱+폐지+알루미늄캔+파병+잡병,강원특별자치도 강릉시청,033-660-3391,,08:00,17:00,00:00,00:00,일+공휴일,,,033-660-3391,강원특별자치도 강릉시청,2025-12-05,4201000,강원특별자치도 강릉시
예천군생활자원회수센터,직영,경상북도 예천군 예천읍 원고개길 57-25,경상북도 예천군 예천읍 청복리 645,36.63781764,128.4616533,812,2016-12,23,"병,캔,플라스틱,폐지류 등",경상북도 예천군,054-650-6173,김학동,09:00,17:00,00:00,00:00,토+일,,,054-650-6173,경상북도 예천군청,2025-12-10,5230000,경상북도 예천군
서천군재활용처리시설,직영,충청남도 서천군 서천읍 충절로41번길 23 (군사리),충청남도 서천군 서천읍 군사리 692-3,36.077383,126.687346,97.65,2016-12,0,의류 판매 및 수선+책+우유팩 화장지 교환 등,충청남도 서천군,041-950-4336,김기웅,09:00,18:00,00:00,00:00,토+일+공휴일,,,041-950-4395,충청남도 서천군청,2025-12-12,4580000,충청남도 서천군
태백시 생활자원회수센터,직영,"강원특별자치도 태백시 용정길 307(통동,위생매립지)",강원특별자치도 태백시 통동 336-1,37.1976912,129.003658,797.8,2001-01,1,종이+플라스틱+공병+고철+캔+장판 등,강원특별자치도 태백시청,033-550-2790,이상호,06:00,15:00,06:00,12:00,일+추석당일+설당일,,,033-550-2790,강원특별자치도 태백시청,2023-12-06,4221000,강원특별자치도 태백시
공주시 재활용센터,위탁,충청남도 공주시 봉황로 125,충청남도 공주시 교동 120,36.45749955,127.1209671,30,2022-02,0,재활용품,금호자원,041-852-1006,안소연,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,041-840-8573,공주시청,2022-11-22,4500000,충청남도 공주시
함양군폐기물종합처리장,직영,경상남도 함양군 함양읍 함양남서로 996-166,경상남도 함양군 함양읍 이은리 34,35.5046669870,127.7538238326,1470,2012-03,2,폐생활가전,경상남도 함양군청,055-960-6150,진병영,09:00,18:00,00:00,00:00,토+일+공휴일,,www.hygn.go.kr,055-960-6150,경상남도 함양군청,2024-10-10,5460000,경상남도 함양군
부산광역시 자원재활용센타,위탁,부산광역시 강서구 생곡산단로 76,부산광역시 강서구 생곡동 421,35.13302253,128.8786624,1111,2013-12,29,폐합성수지류+폐폴리염화비닐수지류 둥,부산광역시 자원재활용센타,051-971-2010,박희라,00:00,23:59,00:00,00:00,토+일+공휴일,,,051-970-2342,부산광역시 강서구청,2025-09-01,3360000,부산광역시 강서구
수영구재활용센터,위탁,부산광역시 수영구 수영로741번길 12(수영동),,35.16840640,129.12073170,33,1998-05,1,중고가전,수영구재활용센터,051-756-0599,,09:00,18:00,00:00,00:00,매주일요일+공휴일,,,051-610-4451,부산광역시 수영구,2025-09-01,3380000,부산광역시 수영구
수영종합재활용센터,위탁,부산광역시 수영구 연수로 365(수영동),,35.17085857,129.11031800,132,2011-11,1,중고가전,수영종합재활용센터,051-753-4979,,09:00,19:00,00:00,00:00,매주일요일+공휴일,,,051-610-4451,부산광역시 수영구,2025-09-01,3380000,부산광역시 수영구
부전식당용 중고마트,위탁,부산광역시 수영구 연수로 272(망미동),,35.17283050,129.10039370,66,2023-01,1,주방용품,부전식당용 중고마트,051-755-3250,,09:00,18:00,00:00,00:00,매주일요일+공휴일,,,051-610-4451,부산광역시 수영구,2025-09-01,3380000,부산광역시 수영구
신수영재활용마트,위탁,부산광역시 수영구 연수로392번길 18(광안동),,35.16864148,129.11161150,198,2021-01,1,가전 가구,신수영재활용마트,051-753-8270,,09:00,18:00,00:00,00:00,매주일요일+공휴일,,,051-610-4451,부산광역시 수영구,2025-09-01,3380000,부산광역시 수영구
용우재활용센터,위탁,부산광역시 수영구 광안로7번길 42(광안동),,35.15902805,129.11491380,150,2021-01,1,업소냉장고 온풍기,용우재활용센터,051-752-2781,,09:00,20:00,00:00,00:00,매주일요일+공휴일,,,051-610-4451,부산광역시 수영구,2025-09-01,3380000,부산광역시 수영구
영월군 재활용센터,직영,강원특별자치도 영월군 북면 영월로 1339-43,강원특별자치도 영월군 북면 문곡리 541,37.2187172,128.4313738,350,2005-12,3,플라스틱+종이+스티로폼+유리병+캔,영월군 재활용센터,033-370-2362,최명서,08:00,17:00,00:00,00:00,공휴일,판매일로부터 6개월 이내 무상수리,yw.go.kr,033-370-2362,강원특별자치도 영월군청,2025-09-03,4271000,강원특별자치도 영월군
서대문구재활용센터,위탁,서울특별시 서대문구 연희로 292,서울특별시 서대문구 홍은동 425,37.58323052,126.9363911,1171.77,1995-01,7,가전제품+가구 등,(주)서대문구 재활용센터,02-394-8272,조봉현,09:30,18:30,00:00,00:00,공휴일,공휴일 제외 AS 가능,www.sdm.go.kr,02-330-1377,서울특별시 서대문구청 청소행정과,2025-07-31,3120000,서울특별시 서대문구
진도군재활용선별시설,직영,전라남도 진도군 군내면 한의길 115,,34.53069593,126.2622759,800,2006-01,5,종이+고철+철캔+페트 등,진도군재활용선별시설,061-540-3781,김희수,09:00,18:00,00:00,00:00,토+일+공휴일,,,061-540-3781,전라남도 진도군청,2025-08-29,5905000,전남광주통합특별시 진도군
창원시 재활용센터,위탁,경상남도 창원시 진해구 동진로 44(석동),경상남도 창원시 진해구 석동 84-1,35.1525172,128.700497,1461.86,1996-12,1,가구+냉장고+TV 등,진해지역자활센터,055-544-4980,김미숙,09:00,18:00,00:00,00:00,토요일+일요일+ 공휴일,판매일로부터 7일,http://thedrim.or.kr/sub03-1/,055-225-3584,경상남도 창원시청,2025-08-22,5670000,경상남도 창원시
목포시 재활용선별센터,직영,전라남도 목포시 대양로 241-55,전라남도 목포시 대양동 산109-3,34.8279812539,126.4080436001,1400,2006-10,4,페트+혼합플라스틱+철캔+고철+폐지+알캔+플라스틱+병류+스티로폼 등,전라남도 목포시청,061-270-8076,,05:00,17:00,05:00,17:00,매주 일요일,,,061-270-8076,전라남도 목포시청,2025-04-23,5780000,전남광주통합특별시 목포시
서산시 재활용 센터(녹색가게),위탁,"충청남도 서산시 시장1로 4-4, 2층","충청남도 서산시 동문동 903-6, 2층",36.78176269,126.4552843,199,1993-12,1,중고 의류+재활용 장난감+도서+잡화 등,서산 YMCA,041-664-0848,이완호,10:00,16:00,00:00,00:00,토+일+공휴일,,,041-660-2682,충청남도 서산시청,2025-04-30,4530000,충청남도 서산시